order_id,order_date,region,category,product,quantity,discount,revenue,profit,year,month,month_name,quarter,week,year_month,unit_price,profit_margin
CA-2016-152156,2016-11-08,South,Furniture,Bookcases,2,0.0,261.96,41.9136,2016,11,Nov,4,45,2016-11,130.98,41.91
CA-2016-152156,2016-11-08,South,Furniture,Chairs,3,0.0,731.94,219.582,2016,11,Nov,4,45,2016-11,243.98,219.58
CA-2016-138688,2016-06-12,West,Office Supplies,Labels,2,0.0,14.62,6.8714,2016,6,Jun,2,23,2016-06,7.31,6.87
US-2015-108966,2015-10-11,South,Furniture,Tables,5,0.45,957.58,-383.031,2015,10,Oct,4,41,2015-10,191.52,-383.03
US-2015-108966,2015-10-11,South,Office Supplies,Storage,2,0.2,22.37,2.5164,2015,10,Oct,4,41,2015-10,11.18,2.52
CA-2014-115812,2014-06-09,West,Furniture,Furnishings,7,0.0,48.86,14.1694,2014,6,Jun,2,24,2014-06,6.98,14.17
CA-2014-115812,2014-06-09,West,Office Supplies,Art,4,0.0,7.28,1.9656,2014,6,Jun,2,24,2014-06,1.82,1.97
CA-2014-115812,2014-06-09,West,Technology,Phones,6,0.2,907.15,90.7152,2014,6,Jun,2,24,2014-06,151.19,90.72
CA-2014-115812,2014-06-09,West,Office Supplies,Binders,3,0.2,18.5,5.7825,2014,6,Jun,2,24,2014-06,6.17,5.78
CA-2014-115812,2014-06-09,West,Office Supplies,Appliances,5,0.0,114.9,34.47,2014,6,Jun,2,24,2014-06,22.98,34.47
CA-2014-115812,2014-06-09,West,Furniture,Tables,9,0.2,1706.18,85.3092,2014,6,Jun,2,24,2014-06,189.58,85.31
CA-2014-115812,2014-06-09,West,Technology,Phones,4,0.2,911.42,68.3568,2014,6,Jun,2,24,2014-06,227.86,68.36
CA-2017-114412,2017-04-15,South,Office Supplies,Paper,3,0.2,15.55,5.4432,2017,4,Apr,2,15,2017-04,5.18,5.44
CA-2016-161389,2016-12-05,West,Office Supplies,Binders,3,0.2,407.98,132.5922,2016,12,Dec,4,49,2016-12,135.99,132.59
US-2015-118983,2015-11-22,Central,Office Supplies,Appliances,5,0.8,68.81,-123.858,2015,11,Nov,4,47,2015-11,13.76,-123.86
US-2015-118983,2015-11-22,Central,Office Supplies,Binders,3,0.8,2.54,-3.816,2015,11,Nov,4,47,2015-11,0.85,-3.82
CA-2014-105893,2014-11-11,Central,Office Supplies,Storage,6,0.0,665.88,13.3176,2014,11,Nov,4,46,2014-11,110.98,13.32
CA-2014-167164,2014-05-13,West,Office Supplies,Storage,2,0.0,55.5,9.99,2014,5,May,2,20,2014-05,27.75,9.99
